Year,Neighborhood Tabulation Area NTA),Neighborhood Tabulation Area (NTA) Name,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Percentage,Weighted Score,Rank
2023,BK1803,Canarsie,-2750146.046,0.11,0.06,0.13,1.65699505237453,196
2023,BX0101,Mott Haven-Port Morris,175613.1911,0.26,0.12,0.15,5.71276612527557,64
2023,BX0102,Melrose,-1540329.219,0.24,0.13,0.14,3.19899024308961,188
2023,BX0201,Hunts Point,-882935.4792,0.25,0.16,0.15,4.80966188600706,145
2023,BX0202,Longwood,-1185763.548,0.23,0.15,0.16,3.76359494701655,179
2023,BX0301,Morrisania,-1737491.446,0.23,0.15,0.15,3.26761334887868,187
2023,BX0302,Claremont Village-Claremont (East),315318.4806,0.32,0.15,0.12,6.21006352731371,34
2023,BX0303,Crotona Park East,310799.6093,0.21,0.10,0.14,5.89308402233497,53
2023,BX0401,Concourse-Concourse Village,252016.6664,0.21,0.10,0.20,5.22055785769012,108
2023,BX0402,Highbridge,933718.517,0.23,0.12,0.16,6.843937719401,16
2023,BX0403,Mount Eden-Claremont (West),1516984.135,0.21,0.16,0.23,7.77758302601553,3
2023,BX0501,University Heights (South)-Morris Heights,2361859.989,0.25,0.14,0.21,8.22571320479659,2
2023,BX0502,Mount Hope,1221510.163,0.21,0.13,0.24,7.20448408835081,8
2023,BX0503,Fordham Heights,806269.9604,0.26,0.15,0.26,6.86734467932298,14
2023,BX0601,West Farms,705172.413,0.29,0.19,0.15,7.3298848633087,6
2023,BX0602,Tremont,120410.8154,0.25,0.13,0.13,5.84129681765329,57
2023,BX0603,Belmont,598753.4068,0.27,0.16,0.22,6.73109768660725,17
2023,BX0701,University Heights (North)-Fordham,238871.2233,0.19,0.13,0.23,5.67946027626581,66
2023,BX0702,Bedford Park,470875.1776,0.20,0.13,0.24,6.2554304994514,32
2023,BX0703,Norwood,328355.2015,0.23,0.11,0.22,5.85281676444261,56
2023,BX0801,Kingsbridge Heights-Van Cortlandt Village,1149632.868,0.16,0.11,0.19,6.44142694663775,25
2023,BX0802,Kingsbridge-Marble Hill,891419.3725,0.17,0.09,0.14,6.0381110756269,41
2023,BX0803,Riverdale-Spuyten Duyvil,932579.4693,0.10,0.05,0.09,6.08751469717078,38
2023,BX0901,Soundview-Bruckner-Bronx River,2732153.361,0.22,0.10,0.21,8.57116335042092,1
2023,BX0902,Soundview-Clason Point,611939.7541,0.20,0.10,0.10,5.77956418868397,59
2023,BX0903,Castle Hill-Unionport,756392.0494,0.18,0.09,0.14,5.92655896135189,51
2023,BX0904,Parkchester,840305.2111,0.16,0.11,0.13,6.3445085705365,29
2023,BX1001,Westchester Square,-720982.8287,0.17,0.08,0.18,4.22871210151021,170
2023,BX1002,Throgs Neck-Schuylerville,861008.6592,0.11,0.07,0.09,5.59280619013973,72
